1300 On Fillmore,16609,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,37.781577,-122.432174
Foreign Cinema,1906,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,37.75637,-122.41925
Zuni Cafe,4485,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,37.773483,-122.42164
Presidio Social Club,10060,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,37.7971,-122.447942
Spruce,13591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,37.787621,-122.452734
Mission Beach Cafe,13636,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,37.768085,-122.424638
Marlowe,15424,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,37.77832,-122.396771
Bar Tartine,19651,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,37.763959,-122.421745
The Tipsy Pig,28717,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,37.800266,-122.440082
Nopa,43240,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,37.774883,-122.437558
Zero Zero,48964,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,37.781635,-122.402046
Bistro Central Parc,49426,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,37.775023,-122.44427
Cotogna,52636,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,37.797501,-122.403358
Hong Kong Lounge II,107080,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,37.781872,-122.454422
Stones Throw,114490,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,37.798122,-122.418579
Marla Bakery,146014,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,37.775509,-122.497695
Causwells,149515,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,37.800134,-122.441984
Yuzuki,151108,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,37.761676,-122.42402
